"X7R-2,5 100N KOM";"10";""
"MPE 001-1-014-3";"8";""
"BKL 10120735";"4";""
"BKL 10120536";"4";""
"74HC 21";"6";""
"GS 16P";"4";""
"LS 86";"2";""
"LS 138";"4";""
